Date,Symbol,Indexvalue
09.01.2012,V2TX,30.1779
10.01.2012,V2TX,28.3412
11.01.2012,V2TX,28.4621
12.01.2012,V2TX,28.5518
13.01.2012,V2TX,28.916
16.01.2012,V2TX,27.998
17.01.2012,V2TX,28.1469
18.01.2012,V2TX,27.76
19.01.2012,V2TX,26.5407
20.01.2012,V2TX,25.0315
23.01.2012,V2TX,25.6521
24.01.2012,V2TX,25.295
25.01.2012,V2TX,25.2399
26.01.2012,V2TX,24.2408
27.01.2012,V2TX,24.3981
30.01.2012,V2TX,26.8831
31.01.2012,V2TX,26.3081
01.02.2012,V2TX,24.6111
02.02.2012,V2TX,24.5624
03.02.2012,V2TX,23.5349
06.02.2012,V2TX,25.0326
07.02.2012,V2TX,25.325
08.02.2012,V2TX,25.7292
09.02.2012,V2TX,25.9181
10.02.2012,V2TX,27.3816
13.02.2012,V2TX,26.6034
14.02.2012,V2TX,26.0202
15.02.2012,V2TX,26.5438
16.02.2012,V2TX,26.8397
17.02.2012,V2TX,24.8255
20.02.2012,V2TX,24.5763
21.02.2012,V2TX,23.8977
22.02.2012,V2TX,24.0059
23.02.2012,V2TX,23.8446
24.02.2012,V2TX,22.5277
27.02.2012,V2TX,24.2211
28.02.2012,V2TX,23.7173
29.02.2012,V2TX,23.9289
01.03.2012,V2TX,22.8624
02.03.2012,V2TX,22.5637
05.03.2012,V2TX,23.7979
06.03.2012,V2TX,28.5625
07.03.2012,V2TX,28.2266
08.03.2012,V2TX,25.0964
09.03.2012,V2TX,22.895
12.03.2012,V2TX,23.0102
13.03.2012,V2TX,20.9307
14.03.2012,V2TX,21.1237
15.03.2012,V2TX,19.3479
16.03.2012,V2TX,18.5202
19.03.2012,V2TX,18.3551
20.03.2012,V2TX,19.9117
21.03.2012,V2TX,20.0254
22.03.2012,V2TX,21.9103
23.03.2012,V2TX,21.6583
26.03.2012,V2TX,21.3398
27.03.2012,V2TX,22.3987
28.03.2012,V2TX,23.0813
29.03.2012,V2TX,25.3609
30.03.2012,V2TX,22.5463
02.04.2012,V2TX,21.2165
03.04.2012,V2TX,22.2736
04.04.2012,V2TX,25.8591
05.04.2012,V2TX,25.5879
10.04.2012,V2TX,30.6779
11.04.2012,V2TX,29.4908
12.04.2012,V2TX,27.6118
13.04.2012,V2TX,29.4063
16.04.2012,V2TX,28.8612
17.04.2012,V2TX,26.5949
18.04.2012,V2TX,27.6847
19.04.2012,V2TX,28.2848
20.04.2012,V2TX,26.2312
23.04.2012,V2TX,29.9723
24.04.2012,V2TX,28.6556
25.04.2012,V2TX,27.4003
26.04.2012,V2TX,26.6216
27.04.2012,V2TX,25.4795
30.04.2012,V2TX,26.9511
02.05.2012,V2TX,28.0126
03.05.2012,V2TX,27.6802
04.05.2012,V2TX,29.3836
07.05.2012,V2TX,28.9223
08.05.2012,V2TX,31.3226
09.05.2012,V2TX,31.2083
10.05.2012,V2TX,29.1479
11.05.2012,V2TX,28.3851
14.05.2012,V2TX,31.6946
15.05.2012,V2TX,33.3144
16.05.2012,V2TX,33.1165
17.05.2012,V2TX,34.4776
18.05.2012,V2TX,33.1087
21.05.2012,V2TX,31.0253
22.05.2012,V2TX,30.0057
23.05.2012,V2TX,32.8618
24.05.2012,V2TX,31.4557
25.05.2012,V2TX,30.225
28.05.2012,V2TX,31.7697
29.05.2012,V2TX,31.4097
30.05.2012,V2TX,34.5137
31.05.2012,V2TX,34.9478
01.06.2012,V2TX,36.3842
04.06.2012,V2TX,36.4531
05.06.2012,V2TX,34.5733
06.06.2012,V2TX,31.5809
07.06.2012,V2TX,31.4338
08.06.2012,V2TX,30.3723
11.06.2012,V2TX,31.9884
12.06.2012,V2TX,32.3906
13.06.2012,V2TX,33.8572
14.06.2012,V2TX,33.0104
15.06.2012,V2TX,33.7295
18.06.2012,V2TX,29.4574
19.06.2012,V2TX,27.6446
20.06.2012,V2TX,26.9415
21.06.2012,V2TX,25.4639
22.06.2012,V2TX,25.1664
25.06.2012,V2TX,27.6497
26.06.2012,V2TX,28.0456
27.06.2012,V2TX,27.5359
28.06.2012,V2TX,28.0598
29.06.2012,V2TX,24.9463
02.07.2012,V2TX,24.992
03.07.2012,V2TX,23.685
04.07.2012,V2TX,24.4457
05.07.2012,V2TX,24.4531
06.07.2012,V2TX,25.5759
09.07.2012,V2TX,25.5973
10.07.2012,V2TX,24.6397
11.07.2012,V2TX,24.1292
12.07.2012,V2TX,24.0824
13.07.2012,V2TX,22.6093
16.07.2012,V2TX,22.1692
17.07.2012,V2TX,21.7236
18.07.2012,V2TX,20.3562
19.07.2012,V2TX,20.8276
20.07.2012,V2TX,24.2212
23.07.2012,V2TX,28.0807
24.07.2012,V2TX,28.4455
25.07.2012,V2TX,27.1793
26.07.2012,V2TX,25.635
27.07.2012,V2TX,25.3165
30.07.2012,V2TX,26.4643
31.07.2012,V2TX,28.0088
01.08.2012,V2TX,28.1002
02.08.2012,V2TX,26.4001
03.08.2012,V2TX,23.803
06.08.2012,V2TX,24.2352
07.08.2012,V2TX,23.869
08.08.2012,V2TX,23.678
09.08.2012,V2TX,23.3366
10.08.2012,V2TX,22.7486
13.08.2012,V2TX,23.4531
14.08.2012,V2TX,23.2459
15.08.2012,V2TX,23.5481
16.08.2012,V2TX,23.1306
17.08.2012,V2TX,21.4456
20.08.2012,V2TX,22.1476
21.08.2012,V2TX,22.1925
22.08.2012,V2TX,25.1159
23.08.2012,V2TX,24.3861
24.08.2012,V2TX,24.6392
27.08.2012,V2TX,24.3156
28.08.2012,V2TX,24.868
29.08.2012,V2TX,25.7209
30.08.2012,V2TX,27.1621
31.08.2012,V2TX,25.7034
03.09.2012,V2TX,26.652
04.09.2012,V2TX,27.755
05.09.2012,V2TX,27.6615
06.09.2012,V2TX,23.1125
07.09.2012,V2TX,21.8266
10.09.2012,V2TX,23.4869
11.09.2012,V2TX,23.9199
12.09.2012,V2TX,23.6536
13.09.2012,V2TX,23.5096
14.09.2012,V2TX,21.1062
17.09.2012,V2TX,20.9384
18.09.2012,V2TX,21.0614
19.09.2012,V2TX,20.2909
20.09.2012,V2TX,20.1276
21.09.2012,V2TX,19.2445
24.09.2012,V2TX,19.8013
25.09.2012,V2TX,19.7747
26.09.2012,V2TX,22.2323
27.09.2012,V2TX,22.4909
28.09.2012,V2TX,23.3836
01.10.2012,V2TX,22.8698
02.10.2012,V2TX,23.1473
03.10.2012,V2TX,22.1253
04.10.2012,V2TX,21.9957
05.10.2012,V2TX,20.3484
08.10.2012,V2TX,21.58
09.10.2012,V2TX,22.9493
10.10.2012,V2TX,22.67
11.10.2012,V2TX,21.5761
12.10.2012,V2TX,21.8817
15.10.2012,V2TX,21.4496
16.10.2012,V2TX,20.4001
17.10.2012,V2TX,19.8775
18.10.2012,V2TX,19.5805
19.10.2012,V2TX,20.5996
22.10.2012,V2TX,21.2613
23.10.2012,V2TX,23.3924
24.10.2012,V2TX,22.7611
25.10.2012,V2TX,22.4852
26.10.2012,V2TX,22.137
29.10.2012,V2TX,23.2166
30.10.2012,V2TX,21.8978
31.10.2012,V2TX,22.2123
01.11.2012,V2TX,21.2117
02.11.2012,V2TX,20.5608
05.11.2012,V2TX,22.216
06.11.2012,V2TX,21.7924
07.11.2012,V2TX,23.2841
08.11.2012,V2TX,23.0951
09.11.2012,V2TX,22.57
12.11.2012,V2TX,22.7101
13.11.2012,V2TX,21.8471
14.11.2012,V2TX,21.5292
15.11.2012,V2TX,21.9773
16.11.2012,V2TX,22.1719
19.11.2012,V2TX,19.6356
20.11.2012,V2TX,18.7696
21.11.2012,V2TX,17.8461
22.11.2012,V2TX,17.4423
23.11.2012,V2TX,17.7473
26.11.2012,V2TX,18.4984
27.11.2012,V2TX,17.699
28.11.2012,V2TX,17.2555
29.11.2012,V2TX,16.4854
30.11.2012,V2TX,16.5548
03.12.2012,V2TX,17.3112
04.12.2012,V2TX,17.2837
05.12.2012,V2TX,17.3906
06.12.2012,V2TX,16.9937
07.12.2012,V2TX,17.2026
10.12.2012,V2TX,17.4025
11.12.2012,V2TX,17.0262
12.12.2012,V2TX,17.0471
13.12.2012,V2TX,16.9542
14.12.2012,V2TX,16.4818
17.12.2012,V2TX,16.4617
18.12.2012,V2TX,15.8638
19.12.2012,V2TX,15.6463
20.12.2012,V2TX,15.7568
21.12.2012,V2TX,17.8926
27.12.2012,V2TX,18.2289
28.12.2012,V2TX,21.3534
02.01.2013,V2TX,18.3628
03.01.2013,V2TX,17.54
04.01.2013,V2TX,16.0708
07.01.2013,V2TX,16.818
08.01.2013,V2TX,16.8999
09.01.2013,V2TX,16.1474
10.01.2013,V2TX,16.1155
11.01.2013,V2TX,15.5715
14.01.2013,V2TX,15.7019
15.01.2013,V2TX,15.9725
16.01.2013,V2TX,16.146
17.01.2013,V2TX,15.9134
18.01.2013,V2TX,15.8831
21.01.2013,V2TX,15.4605
22.01.2013,V2TX,16.063
23.01.2013,V2TX,16.2203
24.01.2013,V2TX,15.3145
25.01.2013,V2TX,14.9093
28.01.2013,V2TX,15.1979
29.01.2013,V2TX,14.8562
30.01.2013,V2TX,15.9384
31.01.2013,V2TX,16.6395
01.02.2013,V2TX,15.9874
04.02.2013,V2TX,20.1454
05.02.2013,V2TX,19.2593
06.02.2013,V2TX,20.2113
07.02.2013,V2TX,20.7955
08.02.2013,V2TX,18.5593
11.02.2013,V2TX,18.9342
12.02.2013,V2TX,18.3682
13.02.2013,V2TX,18.2817
14.02.2013,V2TX,18.6532
